gen,mean_pheno,var_pheno,mean_fit
1.0,5e-06,4.499749999999998e-07,0.999999775005625
2.0,2.5e-05,9.493749999999997e-07,0.9999995250118747
3.0,1.4999999999999999e-05,1.3497749999999997e-06,0.9999993250168747
4.0,4.999999999999998e-06,2.1499749999999997e-06,0.9999989250268745
5.0,4.999999999999998e-06,1.7499749999999995e-06,0.9999991250218746
6.0,1.0000000000000003e-05,2.5998999999999986e-06,0.9999987000399988
7.0,-1.4999999999999999e-05,3.249774999999999e-06,0.9999983750481236
8.0,-6.500000000000001e-05,3.845775000000001e-06,0.9999980750481242
9.0,-7.999999999999999e-05,4.9936e-06,0.9999975000774978
10.0,-5e-05,5.6975e-06,0.9999971500712488
11.0,4.999999999999998e-06,5.749975000000001e-06,0.9999971250793732
12.0,-2.499999999999999e-05,5.549374999999999e-06,0.9999972250693738
13.0,-7.5e-05,5.544374999999999e-06,0.9999972250693738
14.0,-5.4999999999999995e-05,5.646975e-06,0.9999971750781231
15.0,-5.500000000000001e-05,7.346975000000001e-06,0.9999963251068722
16.0,-5.9999999999999995e-05,8.496399999999999e-06,0.9999957501137476
17.0,-0.0001,8.19e-06,0.9999959001249964
18.0,-2.500000000000001e-05,7.649374999999998e-06,0.9999961751031228
19.0,-5.9999999999999995e-05,9.896399999999999e-06,0.9999950501612448
20.0,-0.000125,1.1434375e-05,0.9999942751881189
21.0,-0.000195,1.3211975000000002e-05,0.999993375255611
22.0,-0.00019,1.1163900000000003e-05,0.9999944001924932
23.0,-0.0002,1.0860000000000001e-05,0.9999945501962427
24.0,-0.000185,1.0815774999999999e-05,0.9999945752031172
25.0,-0.00014000000000000001,1.16804e-05,0.9999941502587383
26.0,-5.5e-05,1.1746975e-05,0.9999941252368652
27.0,-1.000000000000001e-05,1.16999e-05,0.9999941501912437
28.0,5.000000000000001e-05,1.16975e-05,0.9999941501837444
29.0,4e-05,1.1098400000000002e-05,0.9999944501762446
30.0,6.500000000000001e-05,1.2245775000000002e-05,0.9999938751906193
31.0,1.000000000000001e-05,1.1499899999999996e-05,0.9999942501512469
32.0,4.4999999999999996e-05,1.2247975000000002e-05,0.9999938751756206
33.0,-1.4999999999999999e-05,1.2449774999999999e-05,0.9999937751781206
34.0,-0.000135,1.2431774999999998e-05,0.9999937751781205
35.0,-0.000255,1.2984975000000004e-05,0.9999934752081185
36.0,-0.00023999999999999998,1.40424e-05,0.9999929502287428
37.0,-0.000315,1.5450775000000003e-05,0.9999922252918598
38.0,-0.0004,1.5940000000000003e-05,0.9999919502912392
39.0,-0.000435,1.6660775000000003e-05,0.9999915752706166
40.0,-0.0004900000000000001,1.6859900000000004e-05,0.9999914502962396
41.0,-0.0005600000000000001,1.7386400000000003e-05,0.9999911503412363
42.0,-0.00063,1.9503100000000003e-05,0.9999900503837347
43.0,-0.000625,2.1659375000000003e-05,0.9999889754556054
44.0,-0.00051,1.9939900000000002e-05,0.9999899004099789
45.0,-0.0005200000000000001,2.09296e-05,0.9999894003849856
46.0,-0.000485,2.3114775000000003e-05,0.9999883254418576
47.0,-0.000465,2.3433775000000004e-05,0.99998817541561
48.0,-0.0003450000000000001,2.5430975000000003e-05,0.9999872254993547
49.0,-0.00049,2.665990000000001e-05,0.9999865505912195
50.0,-0.00038,2.7755600000000006e-05,0.9999860506112186
51.0,-0.00018,2.96676e-05,0.9999851506787106
52.0,-8e-05,2.60936e-05,0.9999869505062297
53.0,-0.00011500000000000002,2.6536775e-05,0.9999867254968557
54.0,-0.00019499999999999997,2.8511975e-05,0.9999857255518528
55.0,-0.00035500000000000006,3.0323974999999998e-05,0.9999847756580919
56.0,-0.00043500000000000006,3.156077500000001e-05,0.9999841256143466
57.0,-0.00035000000000000005,3.307750000000001e-05,0.9999834007374625
58.0,-0.00043500000000000006,3.3060775000000005e-05,0.9999833757980787
59.0,-0.00043500000000000006,3.4460775000000005e-05,0.999982675785581
60.0,-0.0007850000000000001,3.6633775000000007e-05,0.9999813759155686
61.0,-0.00091,4.197189999999999e-05,0.9999786011724193
62.0,-0.0010750000000000002,4.3394375e-05,0.9999777262842676
63.0,-0.0010550000000000002,4.3436975e-05,0.999977726201797
64.0,-0.000875,4.2184374999999994e-05,0.9999785260918086
65.0,-0.0008250000000000001,4.1769375000000005e-05,0.9999787759880744
66.0,-0.0007199999999999999,3.9781600000000005e-05,0.9999798509911937
67.0,-0.0007650000000000001,4.2964775e-05,0.9999782261967965
68.0,-0.001125,4.0784375e-05,0.9999789760655637
69.0,-0.00083,3.87111e-05,0.9999803010174405
70.0,-0.0006799999999999999,4.19376e-05,0.999978801114935
71.0,-0.0006000000000000001,3.994e-05,0.9999798510961773
72.0,-0.000815,4.1985775000000005e-05,0.9999786761930386
73.0,-0.0009450000000000001,4.275697499999999e-05,0.9999781761905472
74.0,-0.000945,4.2856974999999985e-05,0.9999781261917935
75.0,-0.00109,4.32119e-05,0.9999778012074214
76.0,-0.001205,4.0397975e-05,0.9999790761680402
77.0,-0.0012000000000000001,4.2760000000000004e-05,0.9999779012724047
78.0,-0.0011899999999999999,4.36839e-05,0.9999774511411887
79.0,-0.001145,4.653897500000001e-05,0.9999760764754969
80.0,-0.0012200000000000002,4.681160000000001e-05,0.9999758513461668
81.0,-0.001295,4.8972975000000005e-05,0.9999746766229982
82.0,-0.0011500000000000002,4.4477499999999996e-05,0.9999771011949311
83.0,-0.000915,4.6512775e-05,0.9999763264317689
84.0,-0.001025,4.4399375000000006e-05,0.9999772762205462
85.0,-0.001045,4.8657975e-05,0.9999751264017923
86.0,-0.0011899999999999999,4.89839e-05,0.9999748014474065
87.0,-0.00111,4.926790000000001e-05,0.9999747515911146
88.0,-0.001245,4.909997500000001e-05,0.9999746767354588
89.0,-0.0013050000000000002,5.0946975e-05,0.9999736765430292
90.0,-0.00137,4.90231e-05,0.9999745515136401
91.0,-0.001335,5.336777500000002e-05,0.9999724269416729
92.0,-0.001265,5.404977500000001e-05,0.9999721767979879
93.0,-0.0008950000000000001,5.6448975000000006e-05,0.9999713768179913
94.0,-0.0006450000000000001,6.1833975e-05,0.9999688771804465
95.0,-0.000505,6.529497500000001e-05,0.9999672274766258
96.0,-0.0005800000000000001,6.52636e-05,0.9999672023198127
97.0,-0.0008900000000000002,6.140790000000001e-05,0.9999689021423096
98.0,-0.0008200000000000001,6.082759999999999e-05,0.9999692521785298
99.0,-0.0008500000000000001,6.10775e-05,0.9999691022572811
100.0,-0.0011600000000000002,5.8654400000000005e-05,0.9999700020623219
101.0,-0.0010850000000000002,5.6472775000000004e-05,0.9999711769729449
102.0,-0.0011400000000000002,5.750039999999999e-05,0.9999706021523022
103.0,-0.00124,5.33624e-05,0.9999725518336057
104.0,-0.001305,5.5646975e-05,0.9999713269542001
105.0,-0.00131,5.758389999999999e-05,0.999970352113552
106.0,-0.001465,5.9303775000000005e-05,0.9999692768779972
107.0,-0.0014200000000000003,6.18836e-05,0.9999680524484943
108.0,-0.0015,5.875e-05,0.9999695024722136
109.0,-0.00152,5.54896e-05,0.9999711018023754
110.0,-0.00187,5.85031e-05,0.9999690024022541
111.0,-0.0016899999999999999,5.73439e-05,0.9999699018548693
112.0,-0.0018900000000000002,5.87279e-05,0.9999688521885521
113.0,-0.0019700000000000004,5.5619100000000004e-05,0.9999702519136101
114.0,-0.0016950000000000001,5.427697500000001e-05,0.9999714269142219
115.0,-0.00173,5.6107100000000004e-05,0.9999704519910922
116.0,-0.0018800000000000004,5.876560000000001e-05,0.9999688524209953
117.0,-0.001865,6.1371775e-05,0.999967577565349
118.0,-0.002115,6.0376775000000006e-05,0.9999675776553341
119.0,-0.0019000000000000002,6.219000000000003e-05,0.9999671025997595
120.0,-0.001875,6.453437500000002e-05,0.9999659776578927
121.0,-0.001795,6.322797500000002e-05,0.99996677749539
122.0,-0.0020499999999999997,6.40975e-05,0.9999658527659565
123.0,-0.0020700000000000002,6.561510000000001e-05,0.9999650526510011
