scenario,gen,mean_pheno,var_pheno,mean_fit
shift,1.0,-1.4999999999999999e-05,6.497749999999997e-07,0.9999996750081249
shift,2.0,-1e-05,1.4998999999999994e-06,0.9999992500187497
shift,3.0,2.5e-05,1.9493749999999994e-06,0.9999990250243745
shift,4.0,8.5e-05,3.1427749999999997e-06,0.9999984250468738
shift,5.0,0.00011999999999999999,4.0856e-06,0.9999979500587485
shift,6.0,0.00011500000000000002,4.236775e-06,0.9999978750681229
shift,7.0,0.00014000000000000001,4.2804000000000006e-06,0.9999978500537491
shift,8.0,1.4999999999999995e-05,4.249775e-06,0.9999978750531241
shift,9.0,3.9999999999999996e-05,5.398400000000001e-06,0.9999973000749982
shift,10.0,4.9999999999999996e-05,6.8975000000000005e-06,0.9999965501087467
shift,11.0,7.000000000000001e-05,8.6951e-06,0.9999956501537445
shift,12.0,3.9999999999999996e-05,8.798400000000002e-06,0.9999956001474951
shift,13.0,2.5e-05,7.649374999999998e-06,0.9999961751031227
shift,14.0,4.4999999999999996e-05,8.847975e-06,0.99999557514812
shift,15.0,0.00011,8.787900000000001e-06,0.9999956001249969
shift,16.0,6.000000000000001e-05,8.8964e-06,0.9999955501412456
shift,17.0,-3.499999999999999e-05,1.0548775e-05,0.999994725176869
shift,18.0,-4e-05,1.0898400000000002e-05,0.9999945501662453
shift,19.0,2.000000000000002e-05,1.21996e-05,0.9999939001974938
shift,20.0,8.5e-05,1.2842775e-05,0.9999935752056185
shift,21.0,0.00011,1.2987900000000003e-05,0.9999935002299917
shift,22.0,-1.0000000000000003e-05,1.4099899999999999e-05,0.9999929502437415
shift,23.0,-7.5e-05,1.4644375e-05,0.9999926752506163
shift,24.0,-8.5e-05,1.5042775000000001e-05,0.9999924752556162
shift,25.0,-0.00014000000000000001,1.57804e-05,0.99999210027999
shift,26.0,1.9999999999999998e-05,1.81996e-05,0.9999909003324875
shift,27.0,4.499999999999998e-05,1.8447975000000002e-05,0.9999907753431118
shift,28.0,3.999999999999999e-05,1.9598400000000002e-05,0.9999902003574865
shift,29.0,6.500000000000001e-05,1.9445774999999998e-05,0.9999902753706104
shift,30.0,1.9999999999999998e-05,2.03996e-05,0.9999898003824851
shift,31.0,3.0000000000000014e-05,2.06991e-05,0.9999896503487382
shift,32.0,-9.5e-05,2.2340975e-05,0.9999888254818498
shift,33.0,-0.00010499999999999998,1.9838975000000003e-05,0.9999900753681071
shift,34.0,-2.9999999999999997e-05,1.98991e-05,0.9999900503537371
shift,35.0,-0.00035000000000000005,2.1177500000000002e-05,0.9999893503937349
shift,36.0,-0.00032,2.2297600000000005e-05,0.9999888003774873
shift,37.0,-0.00035500000000000006,2.3623974999999998e-05,0.9999881254843507
shift,38.0,-0.00038500000000000003,2.3001775000000002e-05,0.9999884254543564
shift,39.0,-0.000505,2.2994975000000004e-05,0.9999883754106103
shift,40.0,-0.00046499999999999997,2.4133775000000004e-05,0.9999878254918543
shift,41.0,-0.00035000000000000005,2.51775e-05,0.9999873504962298
shift,42.0,-0.000405,2.7285974999999998e-05,0.9999862755681006
shift,43.0,-0.000315,2.7150775000000006e-05,0.9999863755955907
shift,44.0,-0.00043000000000000004,2.5915100000000002e-05,0.9999869504687326
shift,45.0,-0.00045500000000000006,2.7342974999999997e-05,0.999986225554348
shift,46.0,-0.00053,2.8519100000000006e-05,0.9999856005924747
shift,47.0,-0.000395,2.9493975e-05,0.9999851756105951
shift,48.0,-0.0007050000000000001,2.6852974999999997e-05,0.999986325641833
shift,49.0,-0.0004950000000000001,2.9704975e-05,0.9999850256818393
shift,50.0,-0.0005949999999999999,3.2095975000000004e-05,0.9999837758330753
shift,51.0,-0.00056,3.238640000000001e-05,0.9999836510161476
shift,52.0,-0.00074,3.1152400000000003e-05,0.9999841508012022
shift,53.0,-0.00074,3.1452400000000004e-05,0.9999840007149671
shift,54.0,-0.0008900000000000002,3.52079e-05,0.9999820010799026
shift,55.0,-0.00094,3.3816400000000004e-05,0.999982650996181
shift,56.0,-0.0010550000000000002,3.4836975000000004e-05,0.9999820260118056
shift,57.0,-0.001155,3.3315974999999996e-05,0.999982675868074
shift,58.0,-0.00122,3.581160000000001e-05,0.9999813509311923
shift,59.0,-0.00094,3.491640000000001e-05,0.9999821008074625
shift,60.0,-0.0007650000000000001,3.7664775e-05,0.9999808759355753
shift,61.0,-0.0005650000000000001,3.7030775e-05,0.9999813259543153
shift,62.0,-0.00055,3.6697500000000006e-05,0.9999815008449566
shift,63.0,-0.00048499999999999997,3.531477500000001e-05,0.9999822258043339
shift,64.0,-0.00048,3.43696e-05,0.9999827008074542
shift,65.0,-0.000515,3.8284775e-05,0.9999807260293101
shift,66.0,-0.0005549999999999999,3.3641975e-05,0.9999830257168398
shift,67.0,-0.00046499999999999997,3.5333774999999995e-05,0.999982225811837
shift,68.0,-0.0005600000000000001,3.4586400000000005e-05,0.999982550953666
shift,69.0,-0.0006500000000000002,3.4577500000000006e-05,0.9999825008349521
shift,70.0,-0.00076,3.4622399999999996e-05,0.9999824008299565
shift,71.0,-0.0006100000000000001,3.322790000000001e-05,0.99998320077246
shift,72.0,-0.000715,3.7238775000000005e-05,0.9999811261167872
shift,73.0,-0.0005600000000000001,3.7986400000000006e-05,0.9999808510261852
shift,74.0,-0.0005850000000000001,3.9307775e-05,0.999980176170538
shift,75.0,-0.00055,4.19975e-05,0.999978851271153
shift,76.0,-0.0005700000000000001,4.04751e-05,0.999979600989944
shift,77.0,-0.0008,4.046e-05,0.9999794510311908
shift,78.0,-0.001075,4.0394375e-05,0.9999792259993189
