scenario,gen,mean_pheno,var_pheno,mean_fit
both,1.0,-5e-06,4.499749999999998e-07,0.999999775005625
both,2.0,2.9999999999999997e-05,6.990999999999998e-07,0.9999996500087498
both,3.0,1.4999999999999999e-05,1.1497749999999995e-06,0.9999994250143748
both,4.0,0.0,1.1e-06,0.9999994500137498
both,5.0,4.4999999999999996e-05,1.547975e-06,0.9999992250193747
both,6.0,7.500000000000001e-05,2.144374999999999e-06,0.9999989250268745
both,7.0,5.9999999999999995e-05,2.5963999999999994e-06,0.9999987000324995
both,8.0,2.9999999999999994e-05,3.0990999999999997e-06,0.9999984500387493
both,9.0,7.000000000000001e-05,3.2951000000000004e-06,0.9999983500412493
both,10.0,3.9999999999999996e-05,3.698400000000001e-06,0.999998150046249
both,11.0,-5.000000000000001e-05,4.9975e-06,0.999997500062499
both,12.0,-0.000105,6.3389750000000014e-06,0.999996825086873
both,13.0,-9.5e-05,6.240975e-06,0.9999968750781236
both,14.0,-5.500000000000002e-05,7.246975000000001e-06,0.9999963751056222
both,15.0,-0.00011499999999999999,8.036775e-06,0.9999959751231214
both,16.0,-0.00020500000000000002,7.507975000000002e-06,0.9999962250943734
both,17.0,-0.000175,8.519374999999998e-06,0.9999957251293713
both,18.0,-0.00015,1.0177499999999999e-05,0.9999949001499959
both,19.0,-8.499999999999999e-05,1.1942774999999998e-05,0.9999940251868694
both,20.0,-1.9999999999999998e-05,1.3399600000000001e-05,0.9999933002274922
both,21.0,-5.4999999999999995e-05,1.4946975000000001e-05,0.9999925252468669
both,22.0,3.500000000000002e-05,1.6448775e-05,0.9999917753481059
both,23.0,0.00016,1.5874400000000002e-05,0.9999920503412311
both,24.0,8.499999999999999e-05,1.4342775e-05,0.999992825291859
both,25.0,-3.5000000000000004e-05,1.2248775e-05,0.999993875205618
both,26.0,-0.00012,1.34856e-05,0.9999932502137435
both,27.0,-0.00016499999999999997,1.3022775e-05,0.9999934751931199
both,28.0,-5.000000000000005e-06,1.5849975e-05,0.9999920752731117
both,29.0,-3.999999999999998e-05,1.6698400000000003e-05,0.9999916502687415
both,30.0,-0.000295,1.6662975000000005e-05,0.9999916252543677
both,31.0,-0.00031,1.5203899999999999e-05,0.9999923502362431
both,32.0,-0.000315,1.4050775000000003e-05,0.9999929252218683
both,33.0,-0.00026000000000000003,1.3532400000000003e-05,0.9999932002149935
both,34.0,-0.00041000000000000005,1.40319e-05,0.9999929002299928
both,35.0,-0.00048499999999999997,1.5914775e-05,0.999991925269366
both,36.0,-0.00055,1.45975e-05,0.9999925502312432
both,37.0,-0.000425,1.5869375000000003e-05,0.9999919752831147
both,38.0,-0.00047000000000000004,1.72791e-05,0.9999912503462319
both,39.0,-0.00047000000000000004,1.61791e-05,0.9999918002574922
both,40.0,-0.00051,1.7039900000000003e-05,0.999991350306239
both,41.0,-0.0005250000000000001,1.7474375e-05,0.999991125409352
both,42.0,-0.000555,1.7341975000000003e-05,0.9999911753481069
both,43.0,-0.000565,1.9330775000000003e-05,0.9999901753506122
both,44.0,-0.00049,1.9859900000000006e-05,0.9999899503712358
both,45.0,-0.00043,2.12151e-05,0.9999893004249824
both,46.0,-0.000495,2.0604975000000005e-05,0.9999895754031088
both,47.0,-0.00048499999999999997,2.1914774999999997e-05,0.9999889254568555
both,48.0,-0.000495,2.3304975e-05,0.9999882255343464
both,49.0,-0.0004,2.1740000000000005e-05,0.9999890504462273
both,50.0,-0.00035499999999999996,2.1523975e-05,0.9999891753756118
both,51.0,-0.000545,2.4652975000000004e-05,0.9999875254993504
both,52.0,-0.0007000000000000001,2.7210000000000005e-05,0.9999861506387124
both,53.0,-0.00076,2.6122399999999996e-05,0.9999866505737246
both,54.0,-0.0006499999999999999,2.5477499999999998e-05,0.9999870505487258
both,55.0,-0.00063,2.65031e-05,0.99998655065871
both,56.0,-0.0007050000000000001,2.7652975e-05,0.9999859256218429
both,57.0,-0.000675,2.8494375e-05,0.999985525616844
both,58.0,-0.0005750000000000001,2.8319375e-05,0.9999856757105785
both,59.0,-0.0005800000000000001,2.7763600000000006e-05,0.9999859506212179
