scenario,gen,mean_pheno,var_pheno,mean_fit
bottleneck,1.0,1e-05,3.9989999999999976e-07,0.9999998000049999
bottleneck,2.0,0.0,8e-07,0.9999996000099998
bottleneck,3.0,-2.4999999999999998e-05,1.5493749999999995e-06,0.9999992250193747
bottleneck,4.0,-5e-05,2.0975000000000002e-06,0.9999989500262495
bottleneck,5.0,-3.0000000000000004e-05,2.899099999999999e-06,0.9999985500362494
bottleneck,6.0,-7.999999999999999e-05,3.393599999999999e-06,0.9999983000424993
bottleneck,7.0,-7.000000000000001e-05,5.2951e-06,0.9999973500737483
bottleneck,8.0,-2.5000000000000005e-05,5.8493749999999985e-06,0.9999970750806232
bottleneck,9.0,-2.5e-05,5.649374999999999e-06,0.9999971750706238
bottleneck,10.0,-7.500000000000001e-05,6.444374999999999e-06,0.9999967750956225
bottleneck,11.0,0.0,5.7000000000000005e-06,0.9999971501237407
bottleneck,12.0,5e-05,5.9975e-06,0.999997000082498
bottleneck,13.0,0.00011000000000000002,6.087900000000002e-06,0.9999969500837481
bottleneck,14.0,9.999999999999996e-06,6.199899999999999e-06,0.9999969001074962
bottleneck,15.0,-4.500000000000001e-05,6.147975000000002e-06,0.9999969250993719
bottleneck,16.0,-0.00011000000000000002,7.4879000000000025e-06,0.9999962501087473
bottleneck,17.0,-0.00011999999999999999,7.485600000000001e-06,0.9999962501012478
bottleneck,18.0,-0.00011999999999999999,7.085600000000001e-06,0.9999964500962478
bottleneck,19.0,-0.00010499999999999999,7.638975000000003e-06,0.9999961751031228
bottleneck,20.0,3.5000000000000004e-05,9.148775e-06,0.9999954251293718
bottleneck,21.0,3.5000000000000004e-05,1.0748775000000001e-05,0.9999946251643702
bottleneck,22.0,9.499999999999999e-05,1.1640974999999999e-05,0.9999941751681207
bottleneck,23.0,0.00016999999999999999,1.30711e-05,0.9999934501862453
bottleneck,24.0,0.00020500000000000002,1.2707975000000001e-05,0.9999936252043685
bottleneck,25.0,0.00014000000000000001,1.2980400000000002e-05,0.999993500214993
bottleneck,26.0,0.000235,1.4594775000000001e-05,0.9999926753031082
bottleneck,27.0,0.00028,1.50216e-05,0.9999924502637407
bottleneck,28.0,0.000325,1.4344375000000001e-05,0.999992775240617
bottleneck,29.0,0.00013,1.4583100000000001e-05,0.9999927002499912
bottleneck,30.0,9.99999999999998e-06,1.4899899999999998e-05,0.9999925502162443
bottleneck,31.0,-9.999999999999999e-06,1.56999e-05,0.9999921502562417
bottleneck,32.0,-4.99999999999999e-06,1.6949975e-05,0.9999915252793659
bottleneck,33.0,-2.000000000000002e-05,1.7499599999999998e-05,0.9999912503087388
bottleneck,34.0,0.00011,1.7387900000000003e-05,0.9999913003149882
bottleneck,35.0,-6.499999999999998e-05,1.6345775e-05,0.9999918252943603
bottleneck,36.0,-5.9999999999999995e-05,1.69964e-05,0.9999915003624802
bottleneck,37.0,-5.500000000000001e-05,1.7646975e-05,0.9999911753706051
bottleneck,38.0,4.000000000000001e-05,1.7398400000000003e-05,0.9999913003374827
bottleneck,39.0,0.00011999999999999999,1.84856e-05,0.9999907503212387
bottleneck,40.0,0.00012,1.8185600000000004e-05,0.9999909003099894
bottleneck,41.0,0.00017999999999999998,1.76676e-05,0.9999911503487356
bottleneck,42.0,0.000135,1.8831775000000003e-05,0.9999905753706098
bottleneck,43.0,0.00012499999999999998,1.9534375e-05,0.9999902253643609
bottleneck,44.0,3.0000000000000014e-05,2.09991e-05,0.999989500464975
bottleneck,45.0,-0.00016499999999999997,1.9422775000000005e-05,0.9999902753331135
bottleneck,46.0,-0.00011499999999999998,2.1536775000000002e-05,0.9999892253743581
bottleneck,47.0,-7.5e-05,2.2144375e-05,0.9999889254943448
bottleneck,48.0,-1.5000000000000007e-05,2.2149775000000004e-05,0.999988925441853
bottleneck,49.0,0.00012,2.08856e-05,0.9999895503962307
bottleneck,50.0,0.00011499999999999998,2.4036775e-05,0.9999879754956038
bottleneck,51.0,5.500000000000001e-05,2.4546975e-05,0.9999877255318474
bottleneck,52.0,0.000115,2.5436775000000002e-05,0.9999872755955891
bottleneck,53.0,0.00020999999999999998,2.4955900000000003e-05,0.9999875005374722
bottleneck,54.0,0.000185,2.3515774999999998e-05,0.9999882254818544
bottleneck,55.0,0.00014000000000000001,2.22804e-05,0.999988850481221
bottleneck,56.0,0.00015000000000000001,2.18775e-05,0.9999890504312323
bottleneck,57.0,0.00010499999999999998,2.3938975e-05,0.9999880255693363
bottleneck,58.0,0.000275,2.6174375e-05,0.9999868757705564
bottleneck,59.0,0.00033,2.46911e-05,0.999987600602463
bottleneck,60.0,0.00027,2.4027100000000002e-05,0.999987950548717
bottleneck,61.0,0.00035499999999999996,2.3123975e-05,0.9999883755830845
bottleneck,62.0,0.000115,2.6436775e-05,0.9999867757430738
bottleneck,63.0,3.000000000000001e-05,2.7199100000000005e-05,0.9999864008649281
bottleneck,64.0,0.00016999999999999999,2.6671099999999996e-05,0.9999866507461952
bottleneck,65.0,0.000165,2.4922775e-05,0.9999875256718249
bottleneck,66.0,0.000115,2.4636775e-05,0.9999876755630949
bottleneck,67.0,8.5e-05,2.4642775000000002e-05,0.9999876755330974
bottleneck,68.0,0.0002,2.536e-05,0.9999873004824811
bottleneck,69.0,0.00013000000000000002,2.6283100000000003e-05,0.9999868505837196
bottleneck,70.0,0.00023,2.63471e-05,0.9999868005849657
bottleneck,71.0,0.000135,2.6331775000000003e-05,0.9999868255468514
bottleneck,72.0,-5.000000000000033e-06,2.8449975000000002e-05,0.9999857756255967
bottleneck,73.0,-6.500000000000001e-05,2.8545775000000002e-05,0.9999857256193434
bottleneck,74.0,-8.999999999999999e-05,2.9091900000000005e-05,0.9999854506112196
bottleneck,75.0,-0.00026,2.99324e-05,0.9999850006374682
bottleneck,76.0,-0.000225,3.0399375000000007e-05,0.9999847758305661
bottleneck,77.0,-0.00032,3.269760000000001e-05,0.999983600889942
bottleneck,78.0,-0.00032,3.47976e-05,0.9999825510736483
bottleneck,79.0,-0.00026000000000000003,3.34324e-05,0.9999832509136906
bottleneck,80.0,-0.00035000000000000005,3.1677499999999996e-05,0.9999841009149165
bottleneck,81.0,-0.00033999999999999997,3.118439999999999e-05,0.9999843507362147
bottleneck,82.0,-0.0004,3.084000000000001e-05,0.9999845007174586
bottleneck,83.0,-0.000575,3.0019374999999994e-05,0.9999848256043463
bottleneck,84.0,-0.00041500000000000006,3.0277775e-05,0.99998477568059
bottleneck,85.0,-0.00033,3.199109999999999e-05,0.9999839508061983
bottleneck,86.0,-0.000185,3.2815775e-05,0.9999835758005782
bottleneck,87.0,-0.00029499999999999996,3.3662975e-05,0.9999831259468092
bottleneck,88.0,-0.000215,3.3703775000000006e-05,0.9999831259243149
bottleneck,89.0,1.0000000000000023e-05,3.22999e-05,0.9999838508237008
bottleneck,90.0,0.00023500000000000002,3.2294775000000006e-05,0.9999838258018277
bottleneck,91.0,0.000265,3.3279775e-05,0.9999833258518206
bottleneck,92.0,8.500000000000002e-05,3.1042775e-05,0.9999844757480811
bottleneck,93.0,-2.0000000000000005e-05,3.20996e-05,0.9999839507762045
bottleneck,94.0,0.00010000000000000002,3.169000000000001e-05,0.9999841506962147
bottleneck,95.0,6.938893903907229e-21,3.3700000000000006e-05,0.9999831507737061
bottleneck,96.0,-2.9999999999999984e-05,3.34991e-05,0.9999832507787019
bottleneck,97.0,3.000000000000001e-05,3.28991e-05,0.999983550703715
bottleneck,98.0,0.000135,3.5531775e-05,0.9999822258868195
bottleneck,99.0,-1.999999999999999e-05,3.88996e-05,0.9999805511011719
bottleneck,100.0,-0.00011999999999999999,4.29856e-05,0.9999785013098818
bottleneck,101.0,-6.500000000000001e-05,3.8345775e-05,0.999980825929322
bottleneck,102.0,-4.99999999999999e-06,3.7549974999999996e-05,0.9999812260467816
bottleneck,103.0,-5.4999999999999995e-05,4.0046974999999996e-05,0.9999799760555592
bottleneck,104.0,5.9999999999999995e-05,4.1496400000000005e-05,0.9999792511561733
bottleneck,105.0,0.00018499999999999997,4.2715775e-05,0.9999786261642987
bottleneck,106.0,0.00033499999999999996,4.4137775e-05,0.9999778762955353
bottleneck,107.0,0.00019000000000000006,3.76639e-05,0.9999811508912034
bottleneck,108.0,-7.5e-05,3.9444375e-05,0.9999802759880718
bottleneck,109.0,-0.000125,4.0434375000000005e-05,0.9999797761205278
bottleneck,110.0,-0.00011000000000000002,4.2287900000000006e-05,0.9999788510236963
bottleneck,111.0,0.00015000000000000001,4.35775e-05,0.9999782013399021
bottleneck,112.0,-1.0000000000000003e-05,3.96999e-05,0.9999801511636374
bottleneck,113.0,-0.00021500000000000002,4.120377500000001e-05,0.999979376055564
bottleneck,114.0,-0.00035,4.47775e-05,0.9999775514011258
bottleneck,115.0,-0.00037,4.48631e-05,0.9999775014023756
bottleneck,116.0,-1.0000000000000016e-05,4.4199900000000003e-05,0.9999779011449302
bottleneck,117.0,5.9999999999999995e-05,4.43964e-05,0.9999778012449145
bottleneck,118.0,-9.999999999999996e-06,4.58999e-05,0.9999770513236517
bottleneck,119.0,-5.499999999999998e-05,4.8446975e-05,0.9999757763930268
bottleneck,120.0,0.00013,4.76831e-05,0.9999761512936631
