scenario,gen,mean_pheno,var_pheno,mean_fit
shift,1.0,-4.999999999999999e-06,6.499749999999999e-07,0.9999996750081248
shift,2.0,-4.4999999999999996e-05,1.1479750000000002e-06,0.9999994250143748
shift,3.0,-5e-05,1.3975e-06,0.9999993000174998
shift,4.0,-4e-05,1.6984000000000005e-06,0.9999991500212495
shift,5.0,-1.5000000000000005e-05,2.2497749999999996e-06,0.9999988750281246
shift,6.0,-1e-05,2.7998999999999992e-06,0.9999986000424987
shift,7.0,4.999999999999998e-06,4.449975e-06,0.9999977750706228
shift,8.0,3.469446951953614e-21,5.7000000000000005e-06,0.999997150116245
shift,9.0,-3.499999999999999e-05,6.348774999999999e-06,0.9999968251243699
shift,10.0,4.4999999999999996e-05,6.347975000000001e-06,0.9999968251168705
shift,11.0,7.500000000000001e-05,7.244374999999999e-06,0.9999963751356197
shift,12.0,-9.999999999999999e-05,8.289999999999999e-06,0.9999958501487445
shift,13.0,-3.5e-05,7.248774999999999e-06,0.9999963751281203
shift,14.0,-3.499999999999999e-05,7.948774999999999e-06,0.9999960251293708
shift,15.0,4.000000000000002e-05,8.198400000000001e-06,0.9999959001249964
shift,16.0,-1.9999999999999995e-05,9.0996e-06,0.9999954501662437
shift,17.0,-9.5e-05,1.0240974999999999e-05,0.999994875210616
shift,18.0,-0.000155,1.2225974999999998e-05,0.999993875265613
shift,19.0,-0.00022000000000000003,1.37516e-05,0.9999931003074859
shift,20.0,-0.00017999999999999998,1.3567599999999999e-05,0.9999932002974865
shift,21.0,-0.00027,1.1627100000000001e-05,0.9999941502062425
shift,22.0,-0.00035,1.1277500000000003e-05,0.9999943001799946
shift,23.0,-0.0004,1.4140000000000004e-05,0.9999928502462414
shift,24.0,-0.00033499999999999996,1.4237775e-05,0.9999928252318676
shift,25.0,-0.00031999999999999997,1.4397600000000003e-05,0.999992750241242
shift,26.0,-0.000265,1.4979775e-05,0.9999924752631156
shift,27.0,-0.00027,1.7327100000000002e-05,0.9999913003899783
shift,28.0,-0.00023999999999999998,1.71424e-05,0.999991400402477
shift,29.0,-0.00034,1.59844e-05,0.9999919503287323
shift,30.0,-0.000235,1.5694775000000003e-05,0.9999921252793649
shift,31.0,-0.00027,1.7027099999999998e-05,0.9999914503187376
shift,32.0,-0.000135,1.6731774999999996e-05,0.999991625276866
shift,33.0,-8.999999999999999e-05,1.7991900000000003e-05,0.9999910003599812
shift,34.0,-0.00020999999999999998,1.9155900000000004e-05,0.9999904004274803
shift,35.0,-0.00028500000000000004,1.7468775000000003e-05,0.9999912253168631
shift,36.0,-0.00027,1.89271e-05,0.9999905003649817
shift,37.0,-0.00024,1.9242400000000004e-05,0.9999903503537366
shift,38.0,-0.00013000000000000002,1.8783100000000003e-05,0.9999906003324879
shift,39.0,-0.00016499999999999997,1.7522774999999996e-05,0.9999912253243625
shift,40.0,-0.00021,1.6355900000000004e-05,0.9999918002424935
shift,41.0,-0.00017999999999999998,1.72676e-05,0.9999913502837408
shift,42.0,-0.00020999999999999995,1.8755899999999998e-05,0.9999906004824641
shift,43.0,-4e-05,1.8498400000000002e-05,0.9999907503362374
shift,44.0,-0.000135,1.8731775e-05,0.9999906253693561
shift,45.0,-9.5e-05,1.8340974999999998e-05,0.9999908253418618
shift,46.0,-0.000285,1.9268775000000003e-05,0.9999903253243642
shift,47.0,-2.0000000000000005e-05,2.2299600000000002e-05,0.9999888504437279
shift,48.0,-0.00018999999999999998,2.26639e-05,0.9999886504187341
shift,49.0,-0.000265,2.2079775e-05,0.9999889253818617
shift,50.0,-0.00042,2.3223599999999996e-05,0.9999883004349833
shift,51.0,-0.000625,2.5359375e-05,0.999987125599339
