scenario,gen,mean_pheno,var_pheno,mean_fit
shift,1.0,-2e-05,5.996000000000002e-07,0.9999997000074997
shift,2.0,-4e-05,1.3984000000000002e-06,0.9999993000174998
shift,3.0,-7e-05,2.2951e-06,0.9999988500287496
shift,4.0,-1.4999999999999999e-05,2.5497749999999992e-06,0.9999987250318745
shift,5.0,-5.9999999999999995e-05,3.8964e-06,0.9999980500487491
shift,6.0,-3.9999999999999996e-05,4.498400000000002e-06,0.9999977500637484
shift,7.0,4.999999999999998e-06,4.349974999999999e-06,0.9999978250543741
shift,8.0,5.5e-05,4.446975000000001e-06,0.999997775055624
shift,9.0,6.500000000000001e-05,5.545775000000001e-06,0.9999972250843725
shift,10.0,0.000185,6.5157749999999995e-06,0.9999967251043718
shift,11.0,0.0002,7.060000000000002e-06,0.9999964501112466
shift,12.0,0.000235,8.194775e-06,0.9999958751406203
shift,13.0,0.00027,9.727100000000002e-06,0.9999951001524954
shift,14.0,0.00020500000000000002,9.507975000000001e-06,0.9999952251568699
shift,15.0,7.500000000000001e-05,9.044375e-06,0.9999954751356211
shift,16.0,8.499999999999999e-05,8.742775e-06,0.9999956251318713
shift,17.0,0.00011999999999999999,9.285600000000001e-06,0.9999953501387462
shift,18.0,0.00012499999999999998,9.734375e-06,0.9999951251368716
shift,19.0,0.00016999999999999999,9.9711e-06,0.9999950001549955
shift,20.0,0.00014500000000000003,9.828975e-06,0.9999950751306224
shift,21.0,9.999999999999998e-05,1.0089999999999998e-05,0.9999949501487461
shift,22.0,6e-05,1.02964e-05,0.9999948501587453
shift,23.0,5e-05,1.0097500000000001e-05,0.9999949501487461
shift,24.0,0.000185,1.0615775000000001e-05,0.9999946751406221
shift,25.0,0.00023999999999999998,1.0442400000000004e-05,0.9999947501462466
shift,26.0,0.000255,1.0484975e-05,0.9999947251693696
shift,27.0,0.00016,1.1674400000000001e-05,0.999994150176245
shift,28.0,0.00013000000000000002,1.1983100000000004e-05,0.9999940001874944
shift,29.0,0.000125,1.3134375e-05,0.9999934252318666
shift,30.0,0.00026000000000000003,1.3732400000000003e-05,0.9999931002249928
shift,31.0,0.000325,1.3844375000000002e-05,0.9999930252643607
shift,32.0,0.000315,1.4450775000000002e-05,0.9999927252643651
shift,33.0,0.000335,1.5637775e-05,0.9999921253168618
shift,34.0,0.000265,1.5279775e-05,0.9999923253043624
shift,35.0,0.00030500000000000004,1.5556975000000002e-05,0.9999921753306068
shift,36.0,0.00028500000000000004,1.5968775e-05,0.9999919753206079
shift,37.0,0.000195,1.6411975000000003e-05,0.9999917753031135
shift,38.0,0.000165,1.7622775000000002e-05,0.9999911753856038
shift,39.0,0.00011499999999999999,1.5536774999999998e-05,0.9999922252918636
shift,40.0,0.00015000000000000001,1.65775e-05,0.9999917003049884
shift,41.0,3.499999999999999e-05,1.8048775e-05,0.9999909753381119
shift,42.0,0.000195,1.7611975000000002e-05,0.9999911753706051
shift,43.0,0.00015,1.91775e-05,0.9999904004199773
shift,44.0,0.000215,1.9203775e-05,0.9999903753831091
shift,45.0,0.000195,2.0811975e-05,0.9999895754256032
shift,46.0,0.00015,2.1577499999999995e-05,0.9999892004274786
shift,47.0,0.00016000000000000004,2.28744e-05,0.9999885504812253
shift,48.0,0.00026000000000000003,2.30324e-05,0.9999884504312333
shift,49.0,0.00017500000000000003,2.1719375e-05,0.9999891254068594
shift,50.0,-3.499999999999999e-05,2.2448775e-05,0.9999887754830997
shift,51.0,8.999999999999999e-05,2.2291900000000003e-05,0.9999888504587265
shift,52.0,-5.000000000000001e-05,2.1697499999999997e-05,0.9999891504287324
shift,53.0,1.0000000000000016e-05,2.28999e-05,0.9999885505337172
shift,54.0,0.00016,2.3874399999999996e-05,0.9999880506062082
shift,55.0,0.00027,2.2627100000000006e-05,0.999988650493724
shift,56.0,0.00019,2.3663900000000002e-05,0.9999881505512164
shift,57.0,0.000215,2.4103775e-05,0.999987925481855
shift,58.0,0.000415,2.4377775000000004e-05,0.999987725524348
shift,59.0,0.000495,2.6204975000000002e-05,0.9999867755181039
shift,60.0,0.00040500000000000003,2.4485975e-05,0.9999876755255942
shift,61.0,0.0006100000000000001,2.8827900000000002e-05,0.9999854006799601
shift,62.0,0.00041999999999999996,2.74236e-05,0.9999862006374624
shift,63.0,0.00051,2.6039900000000005e-05,0.9999868505537219
shift,64.0,0.0005800000000000001,2.6363600000000003e-05,0.9999866504987308
shift,65.0,0.000705,2.7552974999999997e-05,0.9999859757030598
shift,66.0,0.000735,2.6709775e-05,0.9999863755356031
shift,67.0,0.0007,2.8410000000000004e-05,0.9999855506087233
shift,68.0,0.00061,2.67279e-05,0.9999864505037306
shift,69.0,0.000625,2.4559375000000002e-05,0.9999875254468585
shift,70.0,0.00078,2.5291600000000004e-05,0.999987050526224
shift,71.0,0.00096,2.6178399999999997e-05,0.9999864505562264
shift,72.0,0.0008700000000000001,2.53431e-05,0.9999869506037139
shift,73.0,0.00091,2.50719e-05,0.9999870505787196
shift,74.0,0.0008900000000000002,2.5607900000000003e-05,0.9999868005624751
shift,75.0,0.0008399999999999998,2.4094399999999994e-05,0.9999876005124743
shift,76.0,0.0008999999999999999,2.499e-05,0.9999871004874772
shift,77.0,0.000875,2.3784375000000004e-05,0.9999877254718524
shift,78.0,0.001105,2.5528975000000004e-05,0.9999866256343369
shift,79.0,0.00101,2.55799e-05,0.999986700647457
shift,80.0,0.001005,2.6239974999999994e-05,0.9999863756855794
shift,81.0,0.001165,2.8292775e-05,0.9999851760529908
shift,82.0,0.0009649999999999998,2.7518774999999996e-05,0.9999857757980635
shift,83.0,0.0008450000000000002,2.6035974999999994e-05,0.9999866257768101
shift,84.0,0.0007099999999999999,2.6995899999999997e-05,0.9999862508011838
shift,85.0,0.000655,2.6120975e-05,0.9999867256318332
shift,86.0,0.0006450000000000001,2.5033975000000003e-05,0.9999872755580923
shift,87.0,0.0008100000000000001,2.89439e-05,0.9999852007824445
shift,88.0,0.0008,2.756e-05,0.999985900697458
shift,89.0,0.0008550000000000001,3.0818975e-05,0.9999842260617415
shift,90.0,0.000945,3.0156974999999994e-05,0.9999844757780786
shift,91.0,0.0008349999999999999,3.2752775e-05,0.9999832758680693
shift,92.0,0.00079,3.16759e-05,0.9999838507112176
shift,93.0,0.0008600000000000001,3.136040000000001e-05,0.9999839508137052
