scenario,gen,mean_pheno,var_pheno,mean_fit
bottleneck,1.0,-2e-05,8.996000000000001e-07,0.9999995500112497
bottleneck,2.0,-4.999999999999998e-06,1.7499749999999995e-06,0.9999991250218745
bottleneck,3.0,3.5000000000000004e-05,1.548775e-06,0.9999992250193747
bottleneck,4.0,5.4999999999999995e-05,2.4469750000000004e-06,0.9999987750306245
bottleneck,5.0,3.5e-05,2.8487749999999997e-06,0.9999985750431237
bottleneck,6.0,-2.0000000000000005e-05,3.0996e-06,0.9999984500387493
bottleneck,7.0,1.0000000000000003e-05,4.0998999999999995e-06,0.9999979500587484
bottleneck,8.0,0.0,4.6e-06,0.9999977000724978
bottleneck,9.0,-2.5e-05,5.349374999999999e-06,0.9999973250743732
bottleneck,10.0,5.000000000000005e-06,5.249975e-06,0.9999973750656238
bottleneck,11.0,4e-05,5.298400000000002e-06,0.9999973500662488
bottleneck,12.0,0.00011,6.187900000000003e-06,0.9999969000849981
bottleneck,13.0,0.00014500000000000003,7.728974999999998e-06,0.9999961251418698
bottleneck,14.0,0.00027,7.8271e-06,0.9999960501212464
bottleneck,15.0,0.00024500000000000005,8.589974999999999e-06,0.9999956751306213
bottleneck,16.0,0.00028000000000000003,8.3216e-06,0.9999958001349958
bottleneck,17.0,0.00023,7.947099999999999e-06,0.999996000114997
bottleneck,18.0,0.000235,8.894775e-06,0.9999955251718643
bottleneck,19.0,0.00016999999999999999,9.7711e-06,0.9999951001599947
bottleneck,20.0,0.000175,1.1419375e-05,0.9999942751806196
bottleneck,21.0,2.999999999999999e-05,1.23991e-05,0.9999938002074931
bottleneck,22.0,-5.0000000000000106e-06,1.2549975000000002e-05,0.999993725209368
bottleneck,23.0,9.999999999999987e-06,1.4399899999999997e-05,0.9999928002549907
bottleneck,24.0,3.0000000000000004e-05,1.39991e-05,0.9999930002199933
bottleneck,25.0,2.0000000000000005e-05,1.65996e-05,0.9999917003274865
bottleneck,26.0,-5.4999999999999995e-05,1.6046975000000002e-05,0.9999919752831148
bottleneck,27.0,9.999999999999996e-06,1.6499899999999998e-05,0.999991750273741
bottleneck,28.0,0.0,1.6e-05,0.9999920002749905
bottleneck,29.0,-6.5e-05,1.7145775000000003e-05,0.9999914253268621
bottleneck,30.0,-0.00010999999999999998,1.6787900000000002e-05,0.9999916002699916
bottleneck,31.0,-0.00011499999999999999,1.7136775e-05,0.9999914252893652
bottleneck,32.0,-3.0000000000000004e-05,1.6199100000000002e-05,0.9999919002849897
bottleneck,33.0,-0.000175,1.7419375e-05,0.9999912753081139
bottleneck,34.0,-0.00016,1.62744e-05,0.9999918502637415
bottleneck,35.0,-3.5000000000000024e-05,1.7148775e-05,0.9999914253343614
bottleneck,36.0,6.000000000000001e-05,1.53964e-05,0.9999923002674905
bottleneck,37.0,9.999999999999987e-06,1.68999e-05,0.9999915503237371
bottleneck,38.0,7.5e-05,1.7344375e-05,0.9999913253443607
bottleneck,39.0,1.999999999999999e-05,1.8099600000000002e-05,0.9999909503537355
bottleneck,40.0,-1.000000000000001e-05,1.9599900000000002e-05,0.9999902004474753
bottleneck,41.0,2e-05,1.9099600000000003e-05,0.9999904504112317
bottleneck,42.0,1.0000000000000003e-05,1.8699899999999997e-05,0.9999906503612356
bottleneck,43.0,0.0001,1.909e-05,0.9999904504562205
bottleneck,44.0,7.999999999999999e-05,1.85936e-05,0.9999907004049743
bottleneck,45.0,8.5e-05,2.1042775e-05,0.9999894754506012
bottleneck,46.0,0.00016999999999999999,2.09711e-05,0.9999895004424807
bottleneck,47.0,0.000205,2.0607975000000005e-05,0.9999896754006088
bottleneck,48.0,0.00024,2.0342400000000004e-05,0.9999898004049833
bottleneck,49.0,0.00019,1.95639e-05,0.9999902003799847
bottleneck,50.0,0.00026000000000000003,1.93324e-05,0.9999903003474871
bottleneck,51.0,0.00032,1.87976e-05,0.9999905503262387
bottleneck,52.0,0.00035500000000000006,1.8223974999999995e-05,0.9999908252968656
bottleneck,53.0,0.00042500000000000003,1.9569375e-05,0.999990125404354
bottleneck,54.0,0.00035000000000000005,1.8877500000000003e-05,0.9999905003199893
bottleneck,55.0,0.000495,1.9704975e-05,0.999990025406854
bottleneck,56.0,0.0005800000000000001,2.0463600000000005e-05,0.9999896004699707
bottleneck,57.0,0.000545,2.0152975e-05,0.9999897753981088
bottleneck,58.0,0.0005700000000000001,1.9375099999999997e-05,0.9999901503212397
bottleneck,59.0,0.00063,2.22031e-05,0.9999887004024854
bottleneck,60.0,0.0007350000000000001,2.3109775000000002e-05,0.9999881754381083
bottleneck,61.0,0.00053,2.3219100000000006e-05,0.9999882504737263
bottleneck,62.0,0.000495,2.2604975e-05,0.9999885754656015
bottleneck,63.0,0.00061,2.32279e-05,0.9999882005124732
bottleneck,64.0,0.000755,2.3679975000000002e-05,0.9999878754531075
bottleneck,65.0,0.00096,2.60784e-05,0.9999865006074681
bottleneck,66.0,0.001105,2.7928974999999998e-05,0.9999854257393301
bottleneck,67.0,0.0011200000000000001,2.7545600000000003e-05,0.9999856006224722
bottleneck,68.0,0.00116,2.9454400000000007e-05,0.9999846007824531
bottleneck,69.0,0.0011899999999999999,3.288389999999999e-05,0.9999828509236904
bottleneck,70.0,0.0010550000000000002,3.1836975000000005e-05,0.9999835258393288
bottleneck,71.0,0.0008050000000000002,3.140197500000001e-05,0.9999839758880664
bottleneck,72.0,0.0007700000000000001,3.13071e-05,0.9999840509536785
bottleneck,73.0,0.000695,3.276697500000001e-05,0.999983376023045
bottleneck,74.0,0.00075,3.04375e-05,0.9999845008449443
bottleneck,75.0,0.000905,3.0230975e-05,0.9999844758305705
bottleneck,76.0,0.00098,3.09396e-05,0.9999840508336997
bottleneck,77.0,0.00111,3.0467900000000007e-05,0.9999841508911873
bottleneck,78.0,0.0012000000000000001,3.1060000000000004e-05,0.999983750811202
bottleneck,79.0,0.001075,3.449437499999999e-05,0.9999821759480683
bottleneck,80.0,0.001195,3.5021975e-05,0.9999817759955537
bottleneck,81.0,0.00108,3.6933599999999995e-05,0.9999809511886377
bottleneck,82.0,0.0012000000000000001,3.986000000000001e-05,0.9999793512136421
bottleneck,83.0,0.00085,3.747750000000001e-05,0.9999809011598902
bottleneck,84.0,0.0006850000000000001,3.5280774999999994e-05,0.9999821259718051
bottleneck,85.0,0.0007050000000000001,3.6452974999999996e-05,0.9999815259568186
bottleneck,86.0,0.000625,3.765937499999999e-05,0.9999809760230566
bottleneck,87.0,0.0006450000000000001,3.5833975e-05,0.9999818758805706
bottleneck,88.0,0.0007700000000000001,3.4907099999999997e-05,0.9999822507962095
bottleneck,89.0,0.0007650000000000002,3.7564774999999995e-05,0.9999809259643114
bottleneck,90.0,0.0007350000000000001,4.1509775e-05,0.9999789762230319
bottleneck,91.0,0.0008300000000000001,4.291110000000001e-05,0.999978201422369
bottleneck,92.0,0.0010249999999999999,4.1299375e-05,0.9999788262117868
bottleneck,93.0,0.0010500000000000002,4.57975e-05,0.9999765514036496
bottleneck,94.0,0.001,4.300000000000001e-05,0.9999780012399146
bottleneck,95.0,0.00102,4.34596e-05,0.9999777512461644
bottleneck,96.0,0.0010400000000000001,4.181839999999999e-05,0.9999785511286767
bottleneck,97.0,0.0010500000000000002,4.31975e-05,0.9999778511386808
bottleneck,98.0,0.00133,4.5231099999999995e-05,0.999976501299916
bottleneck,99.0,0.00115,5.017749999999999e-05,0.9999742515361387
bottleneck,100.0,0.0012000000000000001,4.6760000000000006e-05,0.9999759014723687
bottleneck,101.0,0.001485,4.8944775000000004e-05,0.9999744271765225
bottleneck,102.0,0.0013450000000000003,4.6440974999999996e-05,0.999975876480493
bottleneck,103.0,0.001165,4.5492775e-05,0.9999765762605441
bottleneck,104.0,0.0012800000000000003,4.416160000000001e-05,0.999977101194931
bottleneck,105.0,0.0011,4.539e-05,0.9999767013024116
bottleneck,106.0,0.0007199999999999999,4.288160000000001e-05,0.9999783010599367
bottleneck,107.0,0.0006000000000000001,4.4840000000000004e-05,0.9999774012624175
bottleneck,108.0,0.00045,4.50975e-05,0.9999773512336737
bottleneck,109.0,0.00031000000000000005,4.5903900000000006e-05,0.9999770013024148
bottleneck,110.0,0.000475,4.3024375e-05,0.9999783762380391
bottleneck,111.0,0.000175,4.1619375e-05,0.9999791761280508
bottleneck,112.0,0.00016000000000000004,4.1974399999999996e-05,0.9999790010949364
bottleneck,113.0,0.00028000000000000003,4.3621599999999996e-05,0.9999781512661546
bottleneck,114.0,0.00011,3.97879e-05,0.9999801009324556
bottleneck,115.0,8.499999999999999e-05,4.194277499999999e-05,0.9999790260643101
bottleneck,116.0,-0.00033500000000000007,4.3437775e-05,0.9999782261743022
